Feature,Mean_abs_SHAP_LowPred
18) What is your opinion of each of the following statements? Select the appropriate response for each:  [I feel that I am well protected against cyber crime],0.5078563
18) What is your opinion of each of the following statements? Select the appropriate response for each:  [I believe that the laws in effect are effective in managing the cyber crime problem],0.47874048
13) How secure do you feel your digital devices (e.g. computers and phones) are? ,0.22043797
A,0.17286998
18) What is your opinion of each of the following statements? Select the appropriate response for each:  [I am willing to accept increased Internet surveillance from the government if it can enhance Internet security ],0.15631449
18) What is your opinion of each of the following statements? Select the appropriate response for each.:  [I am concerned that my online personal information is not secure enough ],0.15471742
20) Some of the most common cyber crimes are presented below. What is your opinion of each of the following statements? Select the appropriate response for each:   [I am not concerned about accidentally encountering child pornography online],0.12728776
19) There are several activities that constitute cyber crimes. How often have you experienced or been victim of the following situations? Select the appropriate response for each: [Being unable to access online services (e.g. banking services) because of cyber attacks],0.122301586
0,0.09924831
"19) There are several activities that constitute cyber crimes. How often have you experienced or been victim of the following situations? Select the appropriate response for each: [Received phishing emails (e.g. asking for money, personal information or bank account details)]",0.0893292
"22) Considering each of the following parties, please rate the extent to which you believe they are responsible for raising awareness of cyber crime:   [The media]",0.08066105
"19) There are several activities that constitute cyber crimes. How often have you experienced or been victim of the following situations? Select the appropriate response for each: [Identity theft (somebody stealing your personal data and impersonating you, e.g. tweeting under your name)]",0.0701198
18) What is your opinion of each of the following statements? Select the appropriate response for each:  [I think one should avoid disclosing personal information online],0.05295246
"20) Some of the most common cyber crimes are presented below. What is your opinion of each of the following statements? Select the appropriate response for each   [I am concerned about identity theft (somebody stealing your personal data and impersonating you, e.g. tweeting under your name)]",0.044590756
20) Some of the most common cyber crimes are presented below. What is your opinion of each of the following statements? Select the appropriate response for each:   [I am concerned about accidentally encountering material that promotes hatred or religious extremism],0.034822833
K,0.034507703
"22) Considering each of the following parties, please rate the extent to which you believe they are responsible for raising awareness of cyber crime:   [The government]",0.027267907
18) What is your opinion of each of the following statements? Select the appropriate response for each:  [I feel that the risk of becoming a victim of cyber crime has increased in the past year.],0.026961945
18) What is your opinion of each of the following statements? Select the appropriate response for each:  [I feel informed about the threat of cyber crime],0.025406295
19) There are several activities that constitute cyber crimes. How often have you experienced or been victim of the following situations? Select the appropriate response for each: [Accidentally encountering material that promotes hatred or religious extremism],0.023208518
"20) Some of the most common cyber crimes are presented below. What is your opinion of each of the following statements? Select the appropriate response for each:   [I am concerned about receiving phishing emails (e.g. asking for money, personal information or bank account details]",0.021013962
20) Some of the most common cyber crimes are presented below. What is your opinion of each of the following statements? Select the appropriate response for each:   [I am concerned about not being able to access online services (e.g. banking services) because of cyber attacks],0.020536266
"22) Considering each of the following parties, please rate the extent to which you believe they are responsible for raising awareness of cyber crime:   [User itself]",0.018359073
"22) Considering each of the following parties, please rate the extent to which you believe they are responsible for raising awareness of cyber crime:   [Those offering online/Internet-based services (e.g. banks, online retailers, telecommunication companies, etc.)]",0.018322552
"22) Considering each of the following parties, please rate the extent to which you believe they are responsible for raising awareness of cyber crime:   [Education system]",0.013839827
"19) There are several activities that constitute cyber crimes. How often have you experienced or been victim of the following situations? Select the appropriate response for each: [Online extortion (a demand for money to avert or stop extortion, or to avert scandal)]",0.013119481
19) There are several activities that constitute cyber crimes. How often have you experienced or been victim of the following situations? Select the appropriate response for each: [Malware (e.g. virus) infection of a device],0.011904246
"20) Some of the most common cyber crimes are presented below. What is your opinion of each of the following statements? Select the appropriate response for each:   [Online extortion (a demand for money to avert or stop extortion, or to avert scandal)]",0.007069784
